Title	IMDb Rating	Vote Count
Fargo	8.1	(753K)
Warrior	8.1	(512K)
Harry Potter and the Deathly Hallows: Part 2	8.1	(992K)
Gran Torino	8.1	(836K)
Million Dollar Baby	8.1	(744K)
My Neighbor Totoro	8.1	(404K)
Mad Max: Fury Road	8.1	(1.2M)
Spider-Man: No Way Home	8.2	(943K)
Ben-Hur	8.1	(262K)
Barry Lyndon	8.1	(192K)
Children of Heaven	8.2	(85K)
Dead Poets Society	8.1	(587K)
12 Years a Slave	8.1	(762K)
Before Sunrise	8.1	(357K)
The Grand Budapest Hotel	8.1	(922K)
Blade Runner	8.1	(851K)
Hacksaw Ridge	8.1	(633K)
I'm Still Here	8.3	(100K)
Gone Girl	8.1	(1.1M)
Memories of Murder	8.1	(238K)
In the Name of the Father	8.1	(195K)
Ratatouille	8.1	(879K)
Monsters, Inc.	8.1	(1M)
The Gold Rush	8.1	(123K)
Wild Tales	8.1	(227K)
How to Train Your Dragon	8.1	(839K)
Sherlock Jr.	8.2	(61K)
Jaws	8.1	(691K)
Mary and Max	8.1	(195K)
The Deer Hunter	8.1	(374K)
The General	8.1	(102K)
Ford v Ferrari	8.1	(517K)
The Wages of Fear	8.1	(70K)
On the Waterfront	8.1	(171K)
Mr. Smith Goes to Washington	8.1	(125K)
Wild Strawberries	8.1	(120K)
Logan	8.1	(885K)
Rocky	8.1	(657K)
The Third Man	8.1	(189K)
Tokyo Story	8.1	(73K)
Maharaja	8.4	(66K)
The Big Lebowski	8.1	(887K)
Spotlight	8.1	(517K)
The Terminator	8.1	(960K)
The Seventh Seal	8.1	(207K)
Room	8.1	(466K)
Pirates of the Caribbean: The Curse of the Black Pearl	8.1	(1.3M)
La haine	8.1	(210K)
Jai Bhim	8.7	(225K)
Hotel Rwanda	8.1	(383K)
Platoon	8.1	(454K)
The Best Years of Our Lives	8.1	(74K)
Before Sunset	8.1	(301K)
The Exorcist	8.1	(475K)
The Passion of Joan of Arc	8.1	(64K)
The Wizard of Oz	8.1	(449K)
The Incredibles	8.0	(850K)
The Sound of Music	8.1	(275K)
Rush	8.1	(532K)
Hachi: A Dog's Tale	8.1	(326K)
Stand by Me	8.1	(462K)
Network	8.1	(178K)
My Father and My Son	8.2	(97K)
The Handmaiden	8.1	(187K)
The Iron Giant	8.1	(243K)
To Be or Not to Be	8.1	(46K)
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc	8.5	(31K)
The Battle of Algiers	8.1	(70K)
Into the Wild	8.1	(677K)
The Grapes of Wrath	8.1	(104K)
A Silent Voice: The Movie	8.1	(118K)
Groundhog Day	8.0	(713K)
The Help	8.1	(511K)
Amores Perros	8.0	(263K)
Rebecca	8.1	(155K)
Drishyam	8.2	(100K)
